academy_name,avg_rating,total_reviews,reputation_score
위드매스학원,5.0,2,2.342466666666667
손나래영어학원,5.0,2,2.339688888888889
토마토음악학원,5.0,4,2.3265086757990865
바룸국어학원,5.0,2,2.3184940639269405
시리우스감마학원,5.0,2,2.3063555555555553
프로퍼수학학원,5.0,4,2.304377777777778
드림에듀학원,5.0,2,2.2998867579908677
아마로즈음악학원,5.0,2,2.298060273972603
한글과컴퓨터학원,5.0,2,2.298060273972603
힘멜에듀센터미술학원,5.0,4,2.2979470319634703
김예찌수학학원,5.0,8,2.2969195585996958
퓰리처국어논술학원,5.0,2,2.296233789954338
펜덕스영어학원,5.0,2,2.2953205479452055
피앤이어학원,5.0,8,2.2951235159817354
런스팀로봇코딩학원,5.0,2,2.2934940639269406
산논술학원,5.0,4,2.293266666666667
콴다일로온라인원격학원,5.0,2,2.292580821917808
더알고리즘(The Rgorithm)학원,5.0,2,2.292580821917808
고등학원,5.0,2,2.291667579908676
천지인학원,5.0,2,2.2907543378995436
파인영어학원,5.0,4,2.290488888888889
에디센어학원,4.636871508379889,358,2.2901723986632994
에듀더원학원,5.0,2,2.289688888888889
잔디학원,5.0,2,2.289688888888889
룩미술교습소,5.0,2,2.289688888888889
파인즈영어학원,5.0,2,2.2813555555555554
코어부원정학원,5.0,2,2.2813555555555554
수학전문순수학원,5.0,6,2.280177777777778
비채수학원,5.0,4,2.279377777777778
마루국어압구정학원,5.0,4,2.279377777777778
돌파수학학원,5.0,12,2.278886757990868
역삼피아노교습소,5.0,2,2.278577777777778
창조음악학원,5.0,2,2.278577777777778
도곡프렌즈미술교습소,5.0,2,2.278577777777778
정선수학교습소,5.0,2,2.278577777777778
리틀뮤즈음악학원,5.0,2,2.278577777777778
위대한학원,5.0,2,2.278577777777778
에모리영어학원,5.0,2,2.278577777777778
아티즌청담미술교습소,5.0,2,2.278577777777778
지오보습학원,5.0,2,2.278577777777778
박기호논술학원,5.0,6,2.2774000000000005
비비디미술학원,5.0,6,2.2728337899543383
수준영재수학학원,5.0,14,2.2686952380952383
나미여앤피카소미술교습소,5.0,4,2.268266666666667
